iperf3: interrupt - the server has terminated
-----------------------------------------------------------
Server listening on 85
-----------------------------------------------------------
Accepted connection from 10.0.0.5, port 36276
[  5] local 10.0.0.10 port 85 connected to 10.0.0.5 port 36320
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-1.00   sec  9.62 MBytes  80.7 Mbits/sec                  
[  5]   1.00-2.00   sec  5.46 MBytes  45.8 Mbits/sec                  
[  5]   2.00-3.00   sec  5.41 MBytes  45.4 Mbits/sec                  
[  5]   3.00-4.00   sec  5.35 MBytes  44.8 Mbits/sec                  
[  5]   4.00-5.00   sec  5.34 MBytes  44.8 Mbits/sec                  
[  5]   5.00-6.00   sec  5.28 MBytes  44.3 Mbits/sec                  
[  5]   6.00-7.00   sec  5.28 MBytes  44.3 Mbits/sec                  
[  5]   7.00-8.00   sec  5.28 MBytes  44.3 Mbits/sec                  
[  5]   8.00-9.00   sec  5.41 MBytes  45.4 Mbits/sec                  
[  5]   9.00-10.00  sec  5.22 MBytes  43.8 Mbits/sec                  
[  5]  10.00-11.00  sec  5.35 MBytes  44.8 Mbits/sec                  
[  5]  11.00-12.00  sec  5.28 MBytes  44.3 Mbits/sec                  
[  5]  12.00-13.00  sec  5.22 MBytes  43.8 Mbits/sec                  
[  5]  13.00-14.00  sec  5.28 MBytes  44.3 Mbits/sec                  
[  5]  14.00-15.00  sec  5.28 MBytes  44.3 Mbits/sec                  
[  5]  15.00-16.00  sec  5.34 MBytes  44.8 Mbits/sec                  
[  5]  16.00-17.00  sec  5.34 MBytes  44.8 Mbits/sec                  
[  5]  17.00-18.00  sec  5.22 MBytes  43.8 Mbits/sec                  
[  5]  18.00-19.00  sec  5.34 MBytes  44.8 Mbits/sec                  
[  5]  19.00-20.00  sec  5.34 MBytes  44.8 Mbits/sec                  
[  5]  20.00-21.00  sec  5.22 MBytes  43.8 Mbits/sec                  
[  5]  21.00-22.00  sec  5.28 MBytes  44.3 Mbits/sec                  
[  5]  22.00-23.00  sec  5.40 MBytes  45.3 Mbits/sec                  
[  5]  23.00-24.00  sec  5.47 MBytes  45.9 Mbits/sec                  
[  5]  24.00-25.00  sec  5.28 MBytes  44.3 Mbits/sec                  
[  5]  25.00-26.00  sec  5.09 MBytes  42.7 Mbits/sec                  
[  5]  26.00-27.00  sec  5.03 MBytes  42.2 Mbits/sec                  
[  5]  27.00-28.00  sec  5.03 MBytes  42.2 Mbits/sec                  
[  5]  28.00-29.00  sec  4.97 MBytes  41.7 Mbits/sec                  
[  5]  29.00-30.00  sec  5.03 MBytes  42.2 Mbits/sec                  
[  5]  30.00-31.00  sec  5.10 MBytes  42.7 Mbits/sec                  
[  5]  31.00-32.00  sec  5.03 MBytes  42.2 Mbits/sec                  
[  5]  32.00-33.00  sec  4.97 MBytes  41.7 Mbits/sec                  
[  5]  33.00-34.00  sec  5.03 MBytes  42.2 Mbits/sec                  
[  5]  34.00-35.00  sec  4.97 MBytes  41.7 Mbits/sec                  
[  5]  35.00-36.00  sec  5.03 MBytes  42.2 Mbits/sec                  
[  5]  36.00-37.00  sec  5.09 MBytes  42.7 Mbits/sec                  
[  5]  37.00-38.00  sec  5.04 MBytes  42.3 Mbits/sec                  
[  5]  38.00-39.00  sec  4.97 MBytes  41.7 Mbits/sec                  
[  5]  39.00-40.00  sec  4.91 MBytes  41.2 Mbits/sec                  
[  5]  40.00-41.00  sec  4.87 MBytes  40.9 Mbits/sec                  
[  5]  41.00-42.00  sec  4.95 MBytes  41.5 Mbits/sec                  
[  5]  42.00-43.00  sec  4.85 MBytes  40.7 Mbits/sec                  
[  5]  43.00-44.00  sec  4.91 MBytes  41.2 Mbits/sec                  
[  5]  44.00-45.00  sec  4.85 MBytes  40.7 Mbits/sec                  
[  5]  45.00-46.00  sec  4.85 MBytes  40.7 Mbits/sec                  
[  5]  46.00-47.00  sec  4.91 MBytes  41.2 Mbits/sec                  
[  5]  47.00-48.00  sec  4.49 MBytes  37.7 Mbits/sec                  
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  50.00-50.57  sec  0.00 Bytes  0.00 bits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-50.57  sec   251 MBytes  41.7 Mbits/sec                  receiver
